,sr_,degree_1,degree_1_specializations,campus,key_skills
9087,10088,,Electronics  Telecommunication Engineering,MITCOE,"['C', 'JAVA']"
9088,10089,,Electronics  Telecommunication Engineering,"MIT,Pune","['C', 'JAVA']"
9089,10090,,Computer Science  Engineering,MITAOE,"['C', ' Javas', ' MATLAB', ' MySQL']"
9090,10091,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'JAVA']"
9091,10092,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'JAVA']"
9092,10093,,Electronics  Telecommunication Engineering,MITCOE,"['C', 'PCB design']"
9093,10094,,Mechanical,MITCOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9094,10095,,Mechanical,MITAOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9095,10096,,Mechanical,MITAOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9096,10097,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9097,10098,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9098,10099,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9099,10100,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'JAVA']"
9100,10101,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'JAVA']"
9101,10102,,Electronics  Telecommunication Engineering,MITAOE,"['C', 'PCB design']"
9102,10103,,Electronics  Telecommunication Engineering,MITAOE,"['C', 'PCB design']"
9103,10104,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
9104,10105,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
9105,10106,,Mechanical,MITAOE,"['AutoCAD', ' PROE']"
9106,10107,,Mechanical,MITCOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9107,10108,,Mechanical,MITCOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9108,10109,,Electronics  Telecommunication Engineering,"MIT,Pune","['C', 'PCB design']"
9109,10110,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9110,10111,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9111,10112,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9112,10113,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9113,10114,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9114,10115,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9115,10116,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9116,10117,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9117,10118,,Electronics  Telecommunication Engineering,MITCOE,"['EmbeddedC', ' MATLAB', ' C ']"
9118,10119,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9119,10120,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9120,10121,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9121,10122,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9122,10123,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9123,10124,,Electronics  Telecommunication Engineering,"MIT,Pune","['C', 'PCB design']"
9124,10125,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'PCB design']"
9125,10126,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'PCB design']"
9126,10127,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9127,10128,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9128,10129,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9129,10130,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9130,10131,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9131,10132,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9132,10133,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9133,10134,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9134,10135,,Electronics  Telecommunication Engineering,MITAOE,"['EmbeddedC', ' MATLAB', ' C ']"
9135,10136,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9136,10137,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
