,sr_,degree_1,degree_1_specializations,campus,key_skills,key_skills_str
9553,10554,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
9554,10555,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
9555,10556,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9556,10557,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9557,10558,B.E.,Civil Engineering,MITCOE,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD"
9558,10559,B.E.,Electronics  Telecommunication Engineering,MITAOE,"['C,JAVA']","C,JAVA"
9559,10560,B.E.,Electronics  Telecommunication Engineering,MITCOE,"['C,JAVA']","C,JAVA"
9560,10561,B.E.,Electronics  Telecommunication Engineering,MITCOE,"['C,JAVA']","C,JAVA"
9561,10562,B.E.,Electronics  Telecommunication Engineering,MITCOE,"['C,PCB design']","C,PCB design"
9562,10563,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9563,10564,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9564,10565,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9565,10566,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9566,10567,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9567,10568,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"['EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL']","EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
9568,10569,B.E.,Electronics  Telecommunication Engineering,MITAOE,"['LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows']","LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
9569,10570,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9570,10571,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
9571,10572,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
